x, y, theta, stamp, 
1.931003134814091e-05, -2.195309934904799e-05, 0.00022436212193654143, 1761163462013274437, 
2.002608925977256e-05, -2.2766982510802336e-05, 0.00023242484035282428, 1761163462154318094, 
2.036306068475824e-05, -2.3149985281634144e-05, 0.00023622614675661155, 1761163462203311526, 
2.063684951281175e-05, -2.346117253182456e-05, 0.0002393172854465536, 1761163462252731247, 
2.088957990054041e-05, -2.374842188146431e-05, 0.00024216748688431813, 1761163462303126714, 
2.1226554963504896e-05, -2.413142101431731e-05, 0.00024596288539191025, 1761163462363056727, 
3.028329047083389e-05, -3.442402521613985e-05, 0.0003484592042192729, 1761163462413283755, 
0.0018400416010990739, -8.422317478107288e-05, 0.004077446606346676, 1761163462463412489, 
0.011858215555548668, -0.00018700145301409066, 0.01083509164235136, 1761163462554279850, 
0.0301804356276989, 0.0003610025451052934, 0.022487756260413973, 1761163462652424053, 
0.05459917336702347, 0.0010008367244154215, 0.03385767305743266, 1761163462762957818, 
0.07534530758857727, 0.0017905697459354997, 0.04760231284716633, 1761163462863279375, 
0.09391332417726517, 0.0029219682328402996, 0.06296688962309516, 1761163462954290062, 
0.11640000343322754, 0.004781990312039852, 0.08246286486378528, 1761163463062740659, 
0.13291695713996887, 0.0062924642115831375, 0.0950047013166573, 1761163463143621673, 
0.15777209401130676, 0.009068172425031662, 0.11309443905113933, 1761163463263277982, 
0.17624901235103607, 0.011565782129764557, 0.12576317733111222, 1761163463353281789, 
0.19718360900878906, 0.014305397868156433, 0.141389506912181, 1761163463453251616, 
0.22005048394203186, 0.018052201718091965, 0.15841510816578977, 1761163463563120774, 
0.24032609164714813, 0.021777339279651642, 0.174182127619594, 1761163463663284976, 
0.258695125579834, 0.02516220510005951, 0.18711010633275668, 1761163463753272421, 
0.28114908933639526, 0.02932799607515335, 0.20155653235010015, 1761163463862923307, 
0.30168673396110535, 0.03367310389876366, 0.21477806800533727, 1761163463962890479, 
0.3222252130508423, 0.03842556104063988, 0.2296017167509074, 1761163464063260908, 
0.330456405878067, 0.04049323871731758, 0.23497846060898178, 1761163464103264719, 
0.360671728849411, 0.04818426072597504, 0.2548080338702235, 1761163464253357161, 
0.37842750549316406, 0.05314728245139122, 0.2671085635696204, 1761163464343288316, 
