x, y, theta, stamp, 
-1.0527306670837788e-07, 1.1970921320880734e-07, -1.5369175302649958e-05, 1761169682624438630, 
-1.0527306670837788e-07, 1.1970921320880734e-07, -1.5369180759661103e-05, 1761169682663700757, 
-1.0527306670837788e-07, 1.1970921320880734e-07, -1.5369188035675963e-05, 1761169682734520310, 
-1.0527306670837788e-07, 1.1970921320880734e-07, -1.5369193492687108e-05, 1761169682783736666, 
-1.2632764878617309e-07, 1.4365116385306465e-07, -1.5272577108720125e-05, 1761169682875708078, 
-1.2632764878617309e-07, 1.4365116385306465e-07, -1.5272588022741114e-05, 1761169682923826834, 
0.0007369350059889257, -2.732197754085064e-05, -0.005791412697188234, 1761169682973793216, 
0.005414857063442469, -0.00040206609992310405, -0.05217997784881578, 1761169683064080100, 
0.010152138769626617, -0.0013519665226340294, -0.12210078440050476, 1761169683134191255, 
0.017944786697626114, -0.002761583775281906, -0.24590011623392138, 1761169683223720599, 
0.029838034883141518, -0.007443941198289394, -0.42546762104323266, 1761169683323679211, 
0.042318835854530334, -0.014462055638432503, -0.624638466801716, 1761169683424196896, 
0.05428346246480942, -0.025028496980667114, -0.8357168009970634, 1761169683533703492, 
0.062415629625320435, -0.03600200265645981, -1.0090526901809937, 1761169683623858659, 
0.07006657868623734, -0.05051533877849579, -1.2027504876591082, 1761169683724092442, 
0.07508468627929688, -0.06901012361049652, -1.3907026646004796, 1761169683823840289, 
0.07662591338157654, -0.09058314561843872, -1.6044027882191372, 1761169683934000969, 
0.0750589445233345, -0.10946998000144958, -1.767272510986309, 1761169684025071707, 
0.06999640166759491, -0.13057731091976166, -1.9133669909204063, 1761169684123732564, 
0.06094212830066681, -0.1526886224746704, -2.045876615368528, 1761169684236965139, 
0.05115395039319992, -0.17088864743709564, -2.1388873314682555, 1761169684334377711, 
0.040354713797569275, -0.1872621476650238, -2.208979803201949, 1761169684426072110, 
0.02711198851466179, -0.2041613906621933, -2.2664186613260844, 1761169684524191099, 
0.013201037421822548, -0.2204371988773346, -2.3067639164454405, 1761169684624451998, 
-0.0028522133361548185, -0.2377953678369522, -2.3429723192028713, 1761169684733720013, 
-0.016597533598542213, -0.25170379877090454, -2.367087329244201, 1761169684823836435, 
-0.03231187164783478, -0.2668955326080322, -2.386797263205282, 1761169684923837460, 
-0.04794177785515785, -0.2814521789550781, -2.4045105447293214, 1761169685024351472, 
-0.06589627265930176, -0.2972423732280731, -2.421163723448543, 1761169685133769338, 
-0.08067620545625687, -0.30996641516685486, -2.4339075820463294, 1761169685223714888, 
-0.10559726506471634, -0.33073848485946655, -2.452615357324194, 1761169685373754288, 
-0.11402826756238937, -0.33761101961135864, -2.4568008874668177, 1761169685424549946, 
