e, e_dot, e_int, stamp, 
0.7860036163544966, 0.0056523774798380175, 0.053422109513752765, 8946000000, 
0.7871609390135741, 0.016998593667263587, 0.05346141045742524, 8980000000, 
0.7863402327759034, 0.0033001609941844118, 0.053482108531263416, 9014000000, 
0.7596518968359727, -0.13887131576113793, 0.07932720433326532, 9082000000, 
0.6681393540487403, -0.42988577352002766, 0.12546745074076823, 9184000000, 
0.5155325408118582, -0.79777567328142, 0.13214601783536684, 9286000000, 
0.35949011901024647, -1.008657630844751, 0.10493501694321744, 9388000000, 
0.23191419484889675, -0.9268573397482399, 0.07527170611762808, 9490000000, 
0.14629713551646695, -0.6967090963849004, 0.05016369855754148, 9592000000, 
0.09724337290591434, -0.44010072530386407, 0.0323309198224469, 9694000000, 
0.07079578622207616, -0.2467364356025843, 0.021374868035823103, 9796000000, 
0.05571456785230677, -0.13571504919479596, 0.015215253434660212, 9898000000, 
0.04783439595893013, -0.08791332094717108, 0.009879535835221073, 9966000000, 
0.03735436861072017, -0.07287674898129061, 0.007984522170577567, 10068000000, 
0.028249286197133405, -0.06400362667253832, 0.007713787452141291, 10170000000, 
0.020094622626068093, -0.05640439864265384, 0.0058274828655066726, 10272000000, 
0.014005784535984334, -0.046547391049506774, 0.004239779148424636, 10374000000, 
0.009709515703962945, -0.0339382579153763, 0.002979074754889045, 10476000000, 
0.006918122935622439, -0.023162292811640176, 0.0020830727759387404, 10578000000, 
0.00510478675767867, -0.015048133811386524, 0.0014778049270139555, 10680000000, 
0.003851149074357907, -0.010022790396289323, 0.001079435996200813, 10782000000, 
0.002943281862447744, -0.007063741487682764, 0.0008091468032249337, 10884000000, 
0.0022122165466083032, -0.005355988652776482, 0.0006124520288721488, 10986000000, 
0.001611919752154134, -0.004350856569586962, 0.0004601844349622923, 11088000000, 
0.001131687685323679, -0.0035311400695575957, 0.00033699603091785584, 11190000000, 
0.0007923464130596969, -0.0026783442454066573, 0.00024044486183655064, 11292000000, 
0.0006594016773947553, -0.0017606482868019427, 0.00014639469396076076, 11360000000, 
0.00048619798835247696, -0.0012177150082996427, 0.00010981694446572598, 11462000000, 
0.00037340914785466417, -0.0009346161096081409, 0.00010329259932492895, 11564000000, 
0.0002687516413293345, -0.0007106089771998121, 7.672839687248033e-05, 11666000000, 
0.00019226158943497218, -0.0005919854850316732, 5.674072174609001e-05, 11768000000, 
0.0001357516902621425, -0.00043464036296467977, 4.058001462979854e-05, 11870000000, 
9.701593850175438e-05, -0.00031126029716737843, 2.8901986837523092e-05, 11972000000, 
6.975035192235968e-05, -0.00021569064816922496, 2.0571222686665443e-05, 12074000000, 
5.00248205311804e-05, -0.00015356574500187577, 1.4741795544960022e-05, 12176000000, 
3.527905259992359e-05, -0.00011265130497528136, 1.0543687303635528e-05, 12278000000, 
2.3988893722015625e-05, -8.508472813452543e-05, 7.4319081460121325e-06, 12380000000, 
1.5485343826115994e-05, -6.46853227902209e-05, 5.0832237300677535e-06, 12482000000, 
1.1410147558676975e-05, -4.776583103613778e-05, 2.8834484893858204e-06, 12550000000, 
6.257917757990228e-06, -3.681380458119371e-05, 1.8786931847577143e-06, 12652000000, 
1.5624182536644327e-06, -2.8345929506310765e-05, 1.5256183632463096e-06, 12788000000, 
-1.5260404329087152e-07, -1.991554926038334e-05, 5.214057738487377e-07, 12856000000, 
-1.8837040556274331e-06, -1.406416162669777e-05, -2.6853757897719414e-08, 12958000000, 
-2.564694783213639e-06, -7.88264947687179e-06, -3.1286819598497214e-07, 13060000000, 
-2.8663056509392604e-06, -3.2111163245484555e-06, -4.973999053050626e-07, 13162000000, 
-2.604788571169969e-06, -1.3102545083768018e-07, -5.46433652361955e-07, 13264000000, 
-2.130841360026281e-06, 2.403478074879018e-06, -5.169316195852146e-07, 13366000000, 
-1.5021960678707202e-06, 3.603243474834147e-06, -4.2417216793655395e-07, 13468000000, 
-8.403442193216648e-07, 4.217310917335348e-06, -3.0418995201086924e-07, 13570000000, 
-1.444493682445369e-07, 4.4370807177326256e-06, -1.6911529656971066e-07, 13672000000, 
6.214779084690036e-07, 4.777196496047937e-06, -2.4705466178609465e-08, 13774000000, 
1.4281316116360188e-06, 5.139153529021424e-06, 1.29550890326513e-07, 13876000000, 
2.238099826024076e-06, 5.283078161944681e-06, 2.9156423553677866e-07, 13978000000, 
2.7323775029231e-06, 5.069884737701286e-06, 3.62587839966381e-07, 14046000000, 
3.507463595786575e-06, 4.955890876509841e-06, 4.804166524015792e-07, 14148000000, 
4.255842829370415e-06, 4.978644857670966e-06, 7.137065071094461e-07, 14250000000, 
5.1038323625185456e-06, 5.216891394548923e-06, 8.749654375619363e-07, 14352000000, 
5.913604413265716e-06, 5.417521515997715e-06, 1.038583013150518e-06, 14454000000, 
6.659672773801084e-06, 5.084445788505029e-06, 1.2020434493718033e-06, 14556000000, 
7.533785028490669e-06, 5.294707892892004e-06, 1.3672802306579077e-06, 14658000000, 
8.509850694227161e-06, 6.0463330732878345e-06, 1.543824977763286e-06, 14760000000, 
9.677085164860877e-06, 7.004248811667345e-06, 1.749009020355352e-06, 14862000000, 
1.0966202131368341e-05, 8.02729227823915e-06, 1.9824133833510336e-06, 14964000000, 
1.2802585131588273e-05, 1.0214052178847701e-05, 2.274319325091589e-06, 15066000000, 
1.5812968143236183e-05, 1.5839104613947197e-05, 2.69155936762111e-06, 15168000000, 
-0.004371576352096951, -0.014328035742576926, -0.0002953213343199046, 15270000000, 
-0.010116502227063617, -0.03311214116080671, -0.0009841140615491784, 15372000000, 
-0.018359534160538482, -0.05918128684699008, -0.0018613647219162795, 15440000000, 
-0.02754753786727049, -0.06292663621000426, -0.0038096030493313363, 15576000000, 
-0.03339102771777058, -0.05116417501895146, -0.00539227078269941, 15644000000, 
-0.04444687846474682, -0.06477478928995549, -0.00597184182948798, 15746000000, 
