odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
-4.151198851332083e-08, 4.792639529682674e-08, -4.7682754506947206e-07, 0.0, 0.0, -0.5229550644392693, -0.37846368962938143, 0.09465948522217557, 1762985743959331410, 
-4.151198851332083e-08, 4.792639529682674e-08, -4.7682754506947206e-07, 0.0, 0.0, -0.4865984692696828, -0.3710605455610257, 0.04655742882529244, 1762985744149267336, 
-4.151198851332083e-08, 4.792639529682674e-08, -4.7682754506947206e-07, 0.0, 0.0, -0.5606905960069409, -0.32818521729305206, 0.06493604689044839, 1762985744408641797, 
-4.151198851332083e-08, 4.792639529682674e-08, -4.7682754506947206e-07, 0.0, 0.0, -0.5477282174429158, -0.3243695496939616, 0.0660422798494736, 1762985744549270872, 
-4.151198851332083e-08, 4.792639529682674e-08, -4.7682754506947206e-07, 0.0, 0.0, -0.548708193902415, -0.26009994039482903, 0.0624404853043736, 1762985744809540284, 
4.151231536297928e-08, -4.7926466351100316e-08, 4.768730009944507e-07, 0.0, -1.0956356710778437e-08, -0.6146609831725348, -0.21231945717943415, 0.09601041028468874, 1762985744995573826, 
4.151231536297928e-08, -4.7926466351100316e-08, 4.768729770094271e-07, 0.0, -1.6366888289098824e-08, -0.6132912491740046, -0.22795674173001712, 0.15298975875471538, 1762985745045290882, 
4.151231536297928e-08, -4.7926466351100316e-08, 4.768725330260096e-07, 0.0, 0.0, -0.652368308399824, -0.26623366130325204, 0.18638841774206621, 1762985745209950322, 
4.151231536297928e-08, -4.7926466351100316e-08, 4.768725330260096e-07, 0.0, 0.0, -0.6376268906272956, -0.28605449264142163, 0.20704764586109212, 1762985745300782526, 
4.151231536297928e-08, -4.7926466351100316e-08, 4.768725330260096e-07, 0.0, 0.0, -0.6657193603794298, -0.27459681209739545, 0.20761576908024845, 1762985745399957125, 
0.00039630025275982916, -0.00020449378644116223, 0.0034154448550982094, 0.007851466026943518, 0.06765555590391159, -0.6090654044519863, -0.26132925962381204, 0.24127968994687612, 1762985745609900177, 
0.007727888412773609, 0.00021974921401124448, 0.02107648929964298, 0.1034289709751383, 0.16097697615623474, -0.6076055686714865, -0.24783592593805648, 0.2962669061359251, 1762985745700690419, 
0.02083752304315567, 0.0009805088629946113, 0.03489051433167678, 0.13453918843456042, 0.10511735081672668, -0.6338311829190805, -0.2590500620047759, 0.30357281807970565, 1762985745799194541, 
0.04954754188656807, 0.0030591292306780815, 0.057128416858084057, 0.13677137327246808, 0.13045239448547363, -0.6133130135116868, -0.24016950192725325, 0.3548205704561056, 1762985746009535162, 
0.06194690242409706, 0.0041023194789886475, 0.06952459394893794, 0.13144812695435096, 0.13187184929847717, -0.6245569287372673, -0.23746541355538278, 0.3161239144552432, 1762985746099386739, 
0.07567042112350464, 0.005473284050822258, 0.0822175690255323, 0.14163233882942622, 0.1253400295972824, -0.6036795517243514, -0.2432017700706266, 0.33381103499966924, 1762985746199485971, 
0.10603933036327362, 0.00838177464902401, 0.08605752816144563, 0.1506482003228426, -0.0021700819488614798, -0.6169839411221681, -0.24762030546182076, 0.35218187553677827, 1762985746409266722, 
0.11946980655193329, 0.009767838753759861, 0.0865875292632035, 0.1471272149291363, 0.01312928181141615, -0.5376899349392077, -0.26441954401083717, 0.3089191931226659, 1762985746499822282, 
0.1340913474559784, 0.01104060746729374, 0.08658757409336144, 0.146164408906704, 4.4577112134902563e-07, -0.5391358754848592, -0.2767694983154297, 0.3039956845585421, 1762985746599732574, 
0.1645159125328064, 0.01378400344401598, 0.07525380401048541, 0.1484365528822788, -0.06307834386825562, -0.5511382803405986, -0.30767162347901084, 0.2527094982951921, 1762985746809263653, 
0.191420778632164, 0.01557858381420374, 0.050899398087000204, 0.14432348459036792, -0.1745421588420868, -0.5104556936760933, -0.3373211400747304, 0.24824572012147925, 1762985746999809526, 
0.20562545955181122, 0.01596808433532715, 0.03407675048576711, 0.13855086855947993, -0.15108707547187805, -0.527286383498489, -0.3176930440512695, 0.23288541322185716, 1762985747099802574, 
0.2183891087770462, 0.016205349937081337, 0.01993761576153278, 0.1448605587872738, -0.1428130865097046, -0.5473529013898426, -0.29827394298413074, 0.22370019973257751, 1762985747190551300, 
0.23414483666419983, 0.016376996412873268, 0.00185335012819619, 0.13990783327105988, -0.1673974096775055, -0.49452851328623343, -0.28831527687234293, 0.2099318667236089, 1762985747299573418, 
0.2485131025314331, 0.016233714297413826, -0.012696617486261835, 0.14431135043888568, -0.1363048106431961, -0.4528534725578637, -0.3200796638785655, 0.19320644925494962, 1762985747399552207, 
0.2632032036781311, 0.015802817419171333, -0.023369108410978123, 0.13345246847198977, -0.10080920904874802, -0.4625801781525462, -0.35827162772535687, 0.1663814632309647, 1762985747509668975, 
0.27731582522392273, 0.015281991101801395, -0.03326808226362085, 0.14472074319150327, -0.08941788226366043, -0.4615325033524565, -0.3289322036125649, 0.1989377519922915, 1762985747609188392, 
0.3032119870185852, 0.0143512561917305, -0.03598130882327995, 0.1407061780721057, -0.016046922653913498, -0.45010140358118284, -0.30249399831381724, 0.20576406921372306, 1762985747799091833, 
0.33230432868003845, 0.013811083510518074, -0.032637862149811146, 0.14932357787988182, 0.01039082370698452, -0.4279129450123949, -0.2823022933825899, 0.21493935964519245, 1762985748009647671, 
0.34404632449150085, 0.013539398089051247, -0.03233459179786426, 0.11605427417716309, 0.004222206771373749, -0.4204636988508789, -0.26110010008182655, 0.2393242086274718, 1762985748099556653, 
0.35697245597839355, 0.01320728287100792, -0.02747377860607413, 0.13244093174708246, 0.08056640625, -0.4245367083824093, -0.2605429305104783, 0.266985033009217, 1762985748199617741, 
0.37149161100387573, 0.013110073283314705, -0.019221675374716564, 0.13033326641679086, 0.055228058248758316, -0.3627211371366746, -0.2376738744426413, 0.28473447090505066, 1762985748310103542, 
0.3965853154659271, 0.012784932740032673, -0.018522385975531203, 0.12634570960880523, 0.01898963376879692, -0.3262076866438032, -0.23181282575672854, 0.28188475331211243, 1762985748499609258, 
0.4093557894229889, 0.01284670177847147, -0.015303554358349148, 0.12405222341640558, 0.02395699732005596, -0.3420738922404906, -0.2562209555222128, 0.2863303513715829, 1762985748601555872, 
0.4357183277606964, 0.012612611055374146, -0.021466067399376308, 0.12536520455653127, -0.04357144236564636, -0.3197761376604398, -0.29075590498469583, 0.2470889804476026, 1762985748808579233, 
0.44749715924263, 0.012356839142739773, -0.02527401816891373, 0.12535944867940477, -0.06702162325382233, -0.24527689202534134, -0.2906749703355571, 0.23708649337647061, 1762985748900622273, 
0.4595983326435089, 0.012051117606461048, -0.033755363488452754, 0.11782430958000634, -0.09474603086709976, -0.2853044560799731, -0.3136257761392789, 0.20690807740701742, 1762985749000574862, 
0.4726905822753906, 0.011538134887814522, -0.043349591223393616, 0.11740778718639584, -0.08287043869495392, -0.2971976503455666, -0.3252763656754278, 0.16380214166539603, 1762985749109662264, 
