e, e_dot, e_int, stamp, 
0.7694860585555425, 1.9174937238600078e-07, 0.07763211969437857, 1761169153616771739, 
0.7694887243302307, 1.846755551455846e-05, 0.07635480658883456, 1761169153665099769, 
0.7662817891744711, -0.02114825645802791, 0.07594360562793306, 1761169153715602741, 
0.7581152945347561, -0.06709564682332834, 0.08393476891879599, 1761169153774871714, 
0.7498876642352019, -0.10087239152928583, 0.08277242510436614, 1761169153824787519, 
0.7396126752554812, -0.12354196323327833, 0.07480357169910126, 1761169153874715616, 
0.7097522943349924, -0.17917036125052324, 0.10259233571936491, 1761169153964733700, 
0.6706673795456803, -0.24066307928199182, 0.13438565996305535, 1761169154064881101, 
0.6278941700705498, -0.2597546649971592, 0.1406536203590342, 1761169154174840732, 
0.5324139588465935, -0.44832587425686304, 0.12806796888558963, 1761169154274716735, 
0.4924630700671728, -0.46490782534393443, 0.10519066262586559, 1761169154365775804, 
0.4575204921457899, -0.26342137250620534, 0.09411297290190557, 1761169154465177738, 
0.4237751723044083, -0.219395266447184, 0.09590862535816408, 1761169154575220060, 
0.4095548592559476, -0.14983589364030078, 0.09018289194064767, 1761169154674767207, 
0.4010996610731129, -0.07858800400446832, 0.07840580016975955, 1761169154765767486, 
0.3877200706779511, -0.0757442415227648, 0.07614113677472563, 1761169154865378233, 
0.28000977426069995, -0.3728000809772067, 0.07448436437936905, 1761169154974830851, 
0.25667605277361527, -0.4056870565102207, 0.06458703341532424, 1761169155074984317, 
0.23516049799571148, -0.15581155146609282, 0.04937805794787256, 1761169155166752700, 
0.21040327400412695, -0.16169050014681638, 0.04460479147541963, 1761169155265537985, 
0.2057271813587076, -0.09779763139902613, 0.04517790829917896, 1761169155374852819, 
0.20875181088280526, -0.004264865926053369, 0.04378281069426397, 1761169155475735072, 
0.20753076189317032, 0.005422151772493035, 0.03937535922364552, 1761169155564763149, 
0.09918963758364396, -0.3297350421938068, 0.03438051616662254, 1761169155675826457, 
0.09060038765531075, -0.3614138921826075, 0.025169418287329097, 1761169155754806704, 
0.07090079150975392, -0.0904691565769959, 0.017387431398398025, 1761169155875919022, 
0.05538951358309352, -0.1122355260073286, 0.015199083850520418, 1761169155965038185, 
0.036313509177606784, -0.12176951256939583, 0.010236399925214948, 1761169156064778059, 
0.03713530714263513, -0.06127168744691908, 0.009025537292384337, 1761169156175197785, 
-0.05156202522719844, -0.29155490447339016, 0.001539162122487851, 1761169156275749432, 
-0.05548651595275511, -0.30873006073714937, -0.00441797414411533, 1761169156364774517, 
-0.05862026406877752, -0.025136962102560344, -0.010440207169109265, 1761169156464805069, 
-0.06217727997159872, -0.021223969546917295, -0.012340182530910054, 1761169156574779594, 
-0.049919102044924224, 0.02968179850895708, -0.012004612796395796, 1761169156675761875, 
-0.03361838761108393, 0.1008240294021554, -0.009277190666347426, 1761169156765779944, 
-0.10578898622936994, -0.18244479363372937, -0.011933673380973172, 1761169156864858619, 
-0.10309906872155661, -0.2347006770996719, -0.016951716227123347, 1761169156975486326, 
-0.10246797647993267, 0.010202790991613597, -0.02188908207604409, 1761169157075765875, 
-0.10690718816778855, -0.01377519144100274, -0.020154929274181256, 1761169157168989602, 
-0.09982630194731079, 0.010161395185765794, -0.018952452052163254, 1761169157259650372, 
-0.08094782406400536, 0.08243890196888275, -0.01939228285724328, 1761169157371216322, 
-0.14113906340378102, -0.14323805069239723, -0.022755429363996604, 1761169157471714650, 
-0.13672012849254866, -0.1845671106995194, -0.023705808802139284, 1761169157569421550, 
-0.13096722845182363, 0.03594340546705462, -0.02583792693041586, 1761169157661315363, 
-0.13230617777173892, 0.01680060999246467, -0.026883061343084914, 1761169157771047769, 
-0.1283394756122309, 0.009125450728717786, -0.02740723221827758, 1761169157871271931, 
-0.11463436915113134, 0.061179557566740206, -0.02444633010775855, 1761169157966472481, 
-0.15878766217239615, -0.10109899017422534, -0.025969951928017945, 1761169158065192589, 
-0.15349577072839127, -0.13301319532820174, -0.029666512230044535, 1761169158174942440, 
-0.14926201677029827, 0.030160323830224305, -0.03229675191930883, 1761169158275118298, 
-0.1456244182830958, 0.0275462000657312, -0.028437941925468713, 1761169158365212760, 
-0.13479180680074432, 0.04955348224552437, -0.027231914583398416, 1761169158465250671, 
-0.12075007171365026, 0.07860049785515534, -0.02810236449182849, 1761169158575367736, 
-0.1566355970473849, -0.07538601909188723, -0.02906976515915075, 1761169158676832576, 
-0.15221106932914674, -0.10114865082596125, -0.02714375056265283, 1761169158764920506, 
-0.14910618714291124, 0.026941593282490055, -0.02893760163710707, 1761169158866399699, 
-0.14777447189784876, 0.014278965334700168, -0.03147738803153883, 1761169158975194172, 
-0.13782299767369655, 0.038784778969966544, -0.029614511337303917, 1761169159070776940, 
-0.16079324961849273, -0.04674629500695571, -0.02821000551766204, 1761169159164781484, 
-0.1534451395285542, -0.05734057290280472, -0.029473619601077625, 1761169159266371745, 
-0.14743175417936183, 0.042592110580056054, -0.03232400236348044, 1761169159374827571, 
-0.143856014161939, 0.030903617439028613, -0.03030250656775442, 1761169159470780994, 
-0.13729064222358056, 0.03545209524092597, -0.027283092613155466, 1761169159565806108, 
